category,place_name,address,suburb,post_code,description,hours_of_operation,lat_coordinates,lng_coordinates,coordinates
Garden,Carlton Gardens,1-111 Carlton St Carlton VIC 3053,Carlton,3053,"The gardens feature flowerbeds, ornamental lakes, elaborate fountains and mature European trees that reflect the changing seasons, In particular, look out for the Victorian-era Hochgurtel Fountain and circular French Fountain, plantings in honour of the Dalai Lama and the two ornamental lakes created for the 1880 exhibition",,-37.8061,144.9713,"{lat: -37.8061, lng: 144.9713}"
Sports Center,State Netball Hockey Centre,10 Brens Dr Parkville VIC 3052,Parkville,3052,"State Netball Hockey Centre (SNHC) is a multipurpose sporting facility located in Melbourne, Australia, It is a home arena of the Melbourne United basketball team of the National Basketball League and the Victorian Vikings hockey team of the Australian Hockey League",9:00am-11:00pm,-37.7858,144.9476,"{lat: -37.7858, lng: 144.9476}"
Park,University Square,190-192 Pelham St Carlton VIC 3053,Carlton,3053,"City of Melbourne is working with the University of Melbourne and the Victorian Government to transform University Square, one of Carlton's oldest and most loved public squares",7:30am-4:00pm,-37.8004,144.9604,"{lat: -37.8004, lng: 144.9604}"
Sports Center,Royal Park Golf Course,11 Old Poplar Rd Parkville VIC 3052,Parkville,3052,"Situated on the northern boundary of Royal Park, Melbourne, Victoria, the Royal Park Golf Course is a 9-hole golf course located only 3 km from the city",6:30am-8:30pm,-37.7819,144.9563,"{lat: -37.7819, lng: 144.9563}"
Sports Center,Powlett Reserve,Albert St & Simpson Street East Melbourne VIC 3002,East Melbourne,3002,"Public tennis courts open 7 days a week, Tennis Coaching, Tennis Court Hire, Cardio Tennis, SocialTennis Competitions and Memberships are all available",7:00am-10pm,-37.8117,144.9873,"{lat: -37.8117, lng: 144.9873}"
Sports Center,Carlton Football Club,Ikon Park Royal Parade Carlton North VIC 3054,Carlton North,3054,"The Carlton Football Club, nicknamed the Blues, is a professional Australian rules football club based in Melbourne",9:00am-5:00pm,-37.7841,144.9620,"{lat: -37.7841, lng: 144.962}"
Sports Center,Visy Park,400 Royal Parade Princes Hill VIC 3054,Princes Hill,3054,"Princes Park is an Australian rules football ground located at Princes Park in the inner Melbourne suburb of Carlton North, It is a historic venue, having been the home ground of the Carlton Football Club since 1897",,-37.7834,144.9620,"{lat: -37.7834, lng: 144.962}"
Sports Center,Flemington Racecourse,448 Epsom Rd Flemington VIC 3031,Flemington,3031,"Flemington Racecourse is a major horse racing venue located in Melbourne, Victoria, Australia, It is most notable for hosting the Melbourne Cup, which is the world's richest handicap and the world's richest 3200 metre horse race",,-37.7908,144.9121,"{lat: -37.7908, lng: 144.9121}"
Garden,Treasury Gardens,13 Spring St Melbourne VIC 3000,Melbourne,3000,"The Treasury Gardens provide a tranquil green edge to Spring Street and are a picturesque segue to the Fitzroy Gardens, just over Lansdowne Street",,-37.8144,144.9760,"{lat: -37.8144, lng: 144.976}"
Park,Batman Park,2A Spencer Street Melbourne VIC 3000,Melbourne,3000,"Planted with eucalypts, the park was established in 1982 on the site of a disused freight train rail yard, Enterprize Park and the Melbourne Aquarium have since been added as neighbours",,-37.8218,144.9567,"{lat: -37.8218, lng: 144.9567}"
